model,fold,macro_f1
LR,1,0.9454094292803971
LR,2,0.7997607531076091
LR,3,0.8482758620689655
LR,4,0.8075
LR,5,0.8815384615384616
SVM,1,0.9681818181818183
SVM,2,0.8111482720178372
SVM,3,0.9681818181818183
SVM,4,0.8362282878411911
SVM,5,0.8952380952380952
RF,1,1.0
RF,2,0.8653453803555815
RF,3,0.930682670667667
RF,4,0.8315768542453768
RF,5,0.8680753854940034
ET,1,0.9759712903729132
ET,2,0.8142543859649123
ET,3,0.9380032206119162
ET,4,0.8116207951070336
ET,5,0.8815384615384616
GB,1,1.0
GB,2,0.8042120391354817
GB,3,0.8883572567783093
GB,4,0.8382595648912228
GB,5,0.8952380952380952
KNN,1,1.0
KNN,2,0.7895049622630297
KNN,3,0.9838675885187513
KNN,4,0.7708333333333333
KNN,5,0.8585858585858586
MLP,1,0.9752610441767069
MLP,2,0.8212370792106573
MLP,3,0.8883572567783093
MLP,4,0.8295088566827697
MLP,5,0.8883572567783093
Ensemble,1,0.9759712903729132
Ensemble,2,0.9494252873563218
Ensemble,3,0.9604945872453953
Ensemble,4,0.8521008403361345
Ensemble,5,0.645021645021645
