feature,selection_count,n_folds,stability_percent
Feature_0022,5,5,100.0
Feature_0027,5,5,100.0
Feature_0040,5,5,100.0
Feature_0043,5,5,100.0
Feature_0135,5,5,100.0
Feature_0166,5,5,100.0
Feature_0224,5,5,100.0
Feature_0368,5,5,100.0
Feature_0408,5,5,100.0
Feature_0478,5,5,100.0
Feature_0500,5,5,100.0
Feature_0570,5,5,100.0
Feature_0571,5,5,100.0
Feature_0619,5,5,100.0
Feature_0662,5,5,100.0
Feature_0688,5,5,100.0
Feature_0727,5,5,100.0
Feature_0028,4,5,80.0
Feature_0034,4,5,80.0
Feature_0067,4,5,80.0
Feature_0123,4,5,80.0
Feature_0164,4,5,80.0
Feature_0204,4,5,80.0
Feature_0409,4,5,80.0
Feature_0670,4,5,80.0
Feature_0005,3,5,60.0
Feature_0008,3,5,60.0
Feature_0086,3,5,60.0
Feature_0479,3,5,60.0
Feature_0491,3,5,60.0
Feature_0507,3,5,60.0
Feature_0072,2,5,40.0
Feature_0411,2,5,40.0
Feature_0434,2,5,40.0
Feature_0436,2,5,40.0
Feature_0494,2,5,40.0
Feature_0583,2,5,40.0
Feature_0592,2,5,40.0
Feature_0605,2,5,40.0
Feature_0618,2,5,40.0
Feature_0639,2,5,40.0
Feature_0675,2,5,40.0
Feature_0006,1,5,20.0
Feature_0016,1,5,20.0
Feature_0017,1,5,20.0
Feature_0047,1,5,20.0
Feature_0057,1,5,20.0
Feature_0062,1,5,20.0
Feature_0084,1,5,20.0
Feature_0251,1,5,20.0
Feature_0456,1,5,20.0
Feature_0469,1,5,20.0
Feature_0527,1,5,20.0
Feature_0545,1,5,20.0
Feature_0578,1,5,20.0
Feature_0579,1,5,20.0
Feature_0644,1,5,20.0
Feature_0677,1,5,20.0
Feature_0687,1,5,20.0
Feature_0718,1,5,20.0
