model,test_index,feature_rule,lime_weight
GB,154,Feature_0005 > 0.78,0.49927440624515185
GB,154,Feature_0164 > 0.67,0.1661657763003661
GB,154,Feature_0043 <= 0.00,0.16061889300535215
GB,154,Feature_0436 > 0.51,0.135245268244699
GB,154,Feature_0022 > 0.53,0.10471488592008886
GB,154,Feature_0478 > 0.59,0.08908039088679183
GB,154,Feature_0224 <= -0.57,0.08794194855817826
GB,154,Feature_0491 <= -0.45,0.0536419353356315
GB,154,Feature_0034 <= -0.47,-0.05293584424255718
GB,154,Feature_0040 > 0.67,0.04023344805772794
